Date,new_diagnoses,Hospitalized,new_deaths,Active cases,new_tests,asympt_percent,IgG,yandex_index,new_recoveries,new_cases_russia,new_cases_europe,new_cases_US,new_cases_world,new_deaths_russia,new_deaths_europe,new_deaths_US,new_deaths_world,Hospitalized_ema,asympt_percent_ema,new_diagnoses_ema,new_deaths_ema,new_recoveries_ema,IgG_ema,new_diagnoses_ema_log_3d,Hospitalized_ema_log_3d,new_deaths_ema_log_3d,new_recoveries_ema_log_3d,Active cases_log_3d,new_cases_russia_log_3d,new_cases_europe_log_3d,new_cases_US_log_3d,new_cases_world_log_3d,new_deaths_russia_log_3d,new_deaths_europe_log_3d,new_deaths_US_log_3d,new_deaths_world_log_3d,new_diagnoses_ema_log_7d,Hospitalized_ema_log_7d,new_deaths_ema_log_7d,new_recoveries_ema_log_7d,Active cases_log_7d,new_cases_russia_log_7d,new_cases_europe_log_7d,new_cases_US_log_7d,new_cases_world_log_7d,new_deaths_russia_log_7d,new_deaths_europe_log_7d,new_deaths_US_log_7d,new_deaths_world_log_7d,new_diagnoses_ema_log_14d,Hospitalized_ema_log_14d,new_deaths_ema_log_14d,new_recoveries_ema_log_14d,Active cases_log_14d,new_cases_russia_log_14d,new_cases_europe_log_14d,new_cases_US_log_14d,new_cases_world_log_14d,new_deaths_russia_log_14d,new_deaths_europe_log_14d,new_deaths_US_log_14d,new_deaths_world_log_14d,IgG_ema_pc_3d,asympt_percent_ema_pc_3d,IgG_ema_pc_7d,asympt_percent_ema_pc_7d,IgG_ema_pc_14d,asympt_percent_ema_pc_14d,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,target_new_diagnoses_ema_log_diff_sma7_ch_1d,target_new_diagnoses_ema_log_diff_sma7_ch_2d,target_new_diagnoses_ema_log_diff_sma7_ch_3d,target_new_diagnoses_ema_log_diff_sma7_ch_4d,target_new_diagnoses_ema_log_diff_sma7_ch_5d,target_new_diagnoses_ema_log_diff_sma7_ch_6d,target_new_diagnoses_ema_log_diff_sma7_ch_7d,target_Hospitalized_ema_log_diff_sma7_ch_1d,target_Hospitalized_ema_log_diff_sma7_ch_2d,target_Hospitalized_ema_log_diff_sma7_ch_3d,target_Hospitalized_ema_log_diff_sma7_ch_4d,target_Hospitalized_ema_log_diff_sma7_ch_5d,target_Hospitalized_ema_log_diff_sma7_ch_6d,target_Hospitalized_ema_log_diff_sma7_ch_7d
2020-04-26,2971.0,1667.0,38.0,38901.0,12016.32817,45.9,11.5,3.8,128.0,5442.286,25548.429,29309.286,79524.143,55.143,3196.429,2128.429,6589.0,1455.2388746722138,44.40176087301567,2626.4049069394136,32.65753034632699,200.66611047560815,11.5,0.12468627901672225,0.12548260568829317,0.2839959725626948,0.19181140939568042,0.22046732479849496,0.08946942995865292,-0.0622290312806566,0.05737806774547316,0.03104963416104667,0.17471647163632076,-0.12586193463857498,-0.0776763656878865,-0.09308076866095405,0.16625369140220592,0.3595686251189269,0.6389056390744274,0.40750656295536825,0.5526098997174245,0.34112841558259355,-0.08559712338073666,0.044933287205441985,0.049891594067792866,0.5015414827238107,-0.26182794469755777,-0.06486957035369745,-0.14430396380966037,1.0238124680501048,0.5788790905058914,1.3459353066701514,0.7707863824161558,1.4203359739085428,1.2382247002006013,-0.18286096020363374,-0.06604009519735676,0.005678275029925572,1.4304854597409342,-0.35575838171078544,0.07016291681876208,-0.09912603816806609,0.0,0.03175658027771977,0.0,0.08129124879539651,0.0,0.12674644855853656,0,0,0,0,0,0,1,0.10430994439807684,0.13970352897337968,0.08771726894202025,0.12935305547105358,0.19983689170231322,0.3845859901311277,0.5398513881869418,0.14681828971485889,0.18282837784858597,0.19869629790127696,0.2164405394911837,0.2311476231772982,0.23479066339578836,0.22979769163024066
2020-04-27,2871.0,1457.0,31.0,41392.0,12395.39215,43.4,11.5,3.0,349.0,5718.0,25160.857,30069.571,80570.857,55.571,3056.429,2134.714,6512.429,1455.4736913825852,44.26819275661358,2687.5536802045604,32.24314775974524,237.74958285670613,11.5,0.08112668353101693,0.08571055796501703,0.15386471370695043,0.19296883038920765,0.20152735307306635,0.08908234955293359,-0.054636306476604446,0.05618750175056597,0.040812540271247144,0.12633757859939898,-0.13326847379136808,-0.042559555890358425,-0.08037657742737103,0.21175558048722198,0.3453329566650174,0.4797672967400275,0.6910331604133537,0.5322651322629728,0.329328657402149,-0.093846878413828,0.08726967856264167,0.06416188403004952,0.40546510810816416,-0.2831863502648737,-0.04005661797995064,-0.1401222900203969,0.9432007137509695,0.606909831887549,1.2716115896603788,0.7958290529001539,1.3627295926894085,1.1289170221333915,-0.19607686622183884,-0.0376949361974912,0.014895779227776629,1.280944451659265,-0.4035631200730183,0.02725750145674688,-0.13050558057923745,0.0,0.01897690705791244,0.0,0.06375160063779095,0.0,0.11884101136690317,1,0,0,0,0,0,0,0.10989245953398719,0.057906199502627764,0.09954198603166109,0.17002582226292073,0.3547749206917352,0.5100403187475493,0.6041274103874184,0.13564552473846536,0.15151344479115636,0.1692576863810631,0.1839647700671776,0.18760781028566775,0.18261483852012006,0.18610644023866652
2020-04-28,3075.0,1856.0,44.0,43817.0,13077.70731,40.7,11.5,3.0,606.0,5827.857,24920.714,30068.571,80284.857,58.714,2951.857,2069.286,6389.0,1508.8771991982405,43.79243372239844,2784.41526015342,35.182360819808935,329.8121871425296,11.5,0.10310282397186477,0.05879713346526927,0.12669617089100527,0.38151085058379497,0.19383493247346983,0.0763690111219173,-0.05453534001979321,0.04756280405388402,0.0123823741008664,0.1085586218859036,-0.1186964978487488,-0.04367715248061366,-0.0476503837836848,0.14784235854682315,0.3290918362920907,0.45606801172163225,0.8267460634997761,0.47888866438409927,0.2534243679987469,-0.10526479936167377,0.09255890379003162,0.05065845127683666,0.35530745178235446,-0.2952730120144089,-0.07987289137237585,-0.15455301336718463,0.8780041379684578,0.593251947653366,1.238099700476019,0.9669042553948168,1.3041787867301764,1.0164036315015377,-0.1897391988684234,-0.038231336375307734,0.013236658569454107,1.1679652745580849,-0.4227001346644421,-0.0027562033189578727,-0.14427159257973088,0.0,-0.00857636394242034,0.0,0.03938219097433193,0.0,0.10149415449449228,0,1,0,0,0,0,0,0.03622901979059456,0.07786480631962789,0.14834864255088753,0.333097740979702,0.4883631390355161,0.5824502306753851,0.6434629233208122,0.10665456681845598,0.1243988084083627,0.1391058920944772,0.14274893231296737,0.13775596054741968,0.14124756226596613,0.137797329501967
2020-04-29,2220.0,1690.0,67.0,45490.0,13646.30328,44.9,11.5,3.0,480.0,5914.286,24211.286,29687.143,79691.143,65.571,2813.286,1985.286,6242.857,1533.0269059718084,43.94010922607865,2643.311445115065,43.1367706148567,367.35914035689717,11.5,0.006414076558122872,0.05203924394556303,0.27105642033204136,0.6024449757599841,0.15646884100916658,0.08315692528551466,-0.053754777779246865,0.012809228070626233,0.0020977629431744305,0.17036703994139746,-0.12763846116532562,-0.06958730535419466,-0.05395524810939101,0.08073828264788485,0.2587642646133945,0.5907247407813481,0.8258517761802047,0.43468477988969667,0.21142706021407065,-0.12414151351578795,0.07364131351367753,0.03537907733083934,0.36962765079227466,-0.3130190696232082,-0.1321908082141814,-0.17048023428083425,0.700867054099648,0.5682904351927611,1.3947394705412517,0.9543193513490591,1.2173465140705773,0.8902368293794991,-0.19702146916832497,-0.03539773330228968,0.017548596510792436,1.1537466095579467,-0.44015258541412194,-0.05879494375591232,-0.15942197967390825,0.0,-0.01039714727209351,0.0,0.038722846814933876,0.0,0.0991532424191306,0,0,1,0,0,0,0,0.06644080259897756,0.1369246388302372,0.3216737372590517,0.47693913531486576,0.5710262269547348,0.6320389196001619,0.6825507109257769,0.08880336470100758,0.10351044838712209,0.10715348860561225,0.10216051684006455,0.10565211855861101,0.10220188579461187,0.103586668569565
2020-04-30,3093.0,1739.0,65.0,47993.0,14581.32776,39.9,11.5,2.8,525.0,6246.429,23866.714,29402.571,79848.143,74.0,2702.571,1905.0,6128.714,1560.4899851755672,43.40142799593483,2755.7335838362987,48.60257796114253,406.7693552676729,11.5,0.025043111072976743,0.06962224977632481,0.40019414395297437,0.5352864766798824,0.14796421868507004,0.08837605418339578,-0.05280256972251429,-0.022430856292068313,-0.0090102778247374,0.2819916271234151,-0.12300087497559087,-0.11379421177009874,-0.060717952590003677,0.17273614210387844,0.19526609122376293,0.6718019644735702,0.8958997068510959,0.4304976647087351,0.22725652645094385,-0.13031733232680942,0.06055568486210916,0.035115540330538764,0.4643025778326586,-0.29363549226765695,-0.18852342912128162,-0.16548602410685476,0.7313208539686187,0.5274868295830091,1.3947394705412517,0.9745014108193297,1.1873184945615751,0.8980955592978352,-0.18224275826450587,-0.025821876482240214,0.029721125109608337,1.1696357919214857,-0.5003189634125311,-0.12278391832370072,-0.20230717495703487,0.0,-0.01957985421822428,0.0,0.008512006006262673,0.0,0.07911451144357384,0,0,0,1,0,0,0,0.11299348033612588,0.29774257876494037,0.45300797682075444,0.5470950684606235,0.6081077611060506,0.6586195524316656,0.7340299576302938,0.07619310467301776,0.07983614489150792,0.07484317312596023,0.07833477484450668,0.07488454208050754,0.07626932485546067,0.08291531257987472
2020-05-01,3561.0,1734.0,47.0,50876.0,15225.73653,44.5,11.5,3.5,631.0,6544.143,23490.143,28874.571,79913.0,79.143,2554.714,1933.0,6084.429,1583.624653818825,43.54790426314352,2957.050187877224,48.2019334708569,462.8270164507547,11.5,0.06013336272893355,0.048319245328712235,0.30736119100824455,0.33796086944888426,0.1493662631633459,0.11590232161005787,-0.05911601515947673,-0.040517786649447274,-0.004642421969920818,0.2942460402279874,-0.14444153958805916,-0.06809636495358173,-0.0488370432025107,0.17665363083525332,0.17003989142745635,0.5459489711709202,0.8570652715691276,0.40782652369276917,0.2240116324824335,-0.12334208672551483,0.015636459443022943,0.03261417691370028,0.47465363118349213,-0.31251120384365993,-0.14177017586136476,-0.1483453978989555,0.6890779626838963,0.5012823566434639,1.3947394705412517,1.1530793113697522,1.1283562604789203,0.8240130395350311,-0.18513222426131826,-0.0006923872406403575,0.04489170090921313,1.1039921435014324,-0.5194856260421448,-0.14144973985023235,-0.20271941071262312,0.0,-0.005583828951023828,0.0,0.002397117019931505,0.0,0.07569375633617703,0,0,0,0,1,0,0,0.2721721913766233,0.42743758943243737,0.5215246810723064,0.5825373737177335,0.6330491650433485,0.7084595702419767,0.7238950518256919,0.05601517246087884,0.051022200695331144,0.0545138024138776,0.05106356964987846,0.05244835242483159,0.05909434014924564,0.0716098624034176
2020-05-02,5358.0,1627.0,37.0,55589.0,15200.4656,46.6,11.5,3.5,608.0,7066.571,23122.429,28590.286,78650.0,77.286,2428.429,1969.286,6053.286,1589.4080333096483,43.95485036139105,3557.287640907918,45.40145010314268,499.120262338066,11.5,0.29686872118910745,0.03609436549451139,0.0500374751423438,0.3057902070301797,0.20048882477171048,0.17797700861049215,-0.046013844328484765,-0.03764575442255591,-0.013150654771813208,0.16209974023970908,-0.14705233789486893,-0.008087853433596415,-0.030831649428114005,0.3479852851296128,0.11075941901247166,0.37545515195176415,0.79480864086739,0.4317935695728199,0.2690649413895869,-0.12942846571445266,-0.002848940048654214,-0.008190760334375824,0.3793609106379816,-0.3130190696232082,-0.09318520458768376,-0.101618201196219,0.6947514552205503,0.4638177958716172,1.196675286319631,1.2004878738449039,1.077361021729347,0.7565854386550068,-0.18542222419220344,0.005606797879556424,0.03668272641178838,0.9403169403443923,-0.5554571476169281,-0.1365536025351144,-0.2325002535823124,0.0,0.000335482445811941,0.0,-0.004899388695804974,0.0,0.07823002292185355,0,0,0,0,0,1,0,0.37378530719964864,0.4678723988395177,0.5288850914849448,0.5793968828105598,0.654807288009188,0.6702427695929032,0.6737192608356057,0.0353054323480011,0.03879703406654755,0.035346801302548414,0.036731584077501545,0.04337757180191559,0.055893094056087556,0.05874450385161367
2020-05-03,5948.0,1530.0,34.0,60848.0,15971.22902,50.3,11.5,3.5,655.0,7676.857,22885.0,28348.0,79335.714,76.143,2323.143,1947.857,6042.429,1581.4869622016952,44.80087031320558,4154.965730680939,42.55108757735701,538.0901967535495,11.5,0.4104983327158882,0.013357152139056971,-0.13010813134293242,0.2791811889825908,0.23731938235001948,0.2061704526467576,-0.04200129712171474,-0.03652437337065351,-0.006438144438941862,0.02817272881683408,-0.14806210649194873,0.022236241642167087,-0.014176526979328585,0.4585481958030444,0.08314063767452673,0.25769786056794297,0.9832694864380063,0.4473497222602596,0.3439575491390485,-0.11008959816786756,-0.03334675625401751,-0.002372238269449767,0.3177588350131719,-0.3130190696232082,-0.08861082179122803,-0.08658178242522929,0.6248018872052503,0.4565841010398124,0.8966034996423704,1.3907760493933745,0.9999596219776841,0.6850859647216421,-0.19568672154860423,0.011586530951424479,0.0475193557983431,0.8193003177369826,-0.5808236251360395,-0.15348039214492548,-0.23088574623488967,0.0,0.03224415375000622,0.0,0.00898859487422854,0.0,0.09101053777186707,0,0,0,0,0,0,1,0.39429073597353437,0.45530342861896145,0.5058152199445765,0.5812256251432046,0.5966611067269199,0.6001375979696224,0.5975674269897144,0.02705972973010784,0.0236094969661087,0.02499427974106183,0.03164026746547588,0.04415578971964784,0.04700719951517396,0.034666715192394726
2020-05-04,5795.0,1623.0,35.0,66064.0,16438.74127,50.6,11.5,3.4,544.0,8303.0,23110.0,27589.286,79346.714,80.286,2242.429,1907.429,5989.286,1587.0220339081359,45.57408760477817,4564.974298010704,40.66331568301776,539.5676475651621,11.5,0.4341015881244976,0.0021416701714889186,-0.16631189912179156,0.1531081132878942,0.26122815083680706,0.23801407856085355,-0.016314761829606894,-0.045532189288080005,-0.007111418963242855,0.01416126100634063,-0.13032613771804957,-0.013310006511058958,-0.01575806795565171,0.529628535428734,0.08647100363392823,0.22577235834217824,0.8172045544678141,0.4675273214565099,0.37294336149035345,-0.08502054207851728,-0.08608323159562303,-0.015309782320789722,0.3624773135904338,-0.3095688677703414,-0.11252062648206529,-0.08372688842723619,0.741384115915956,0.43180396029894563,0.7055396550822057,1.5082377148811679,0.9997924537194827,0.7022720188925025,-0.17886742049234527,0.0011864469670186395,0.0488521017092598,0.7679424216985979,-0.5845567336422686,-0.15257724446201593,-0.22384917844763308,0.0,0.046527688896145,0.0,0.02949961963309411,0.0,0.09513186824070075,1,0,0,0,0,0,0,0.3717621111102236,0.4222739024358386,0.4976843076344668,0.513119789218182,0.5165962804608846,0.5140261094809766,0.539384704755351,0.011524242891106873,0.012909025666060003,0.019555013390474052,0.032070535644646014,0.03492194544017213,0.022581461117392898,-0.0037727175435309235
2020-05-05,5714.0,1546.0,52.0,71429.0,16539.82499,49.1,11.5,3.3,297.0,8830.286,22891.714,27569.857,80684.857,83.429,2142.143,1889.857,5922.857,1581.5524293870512,46.044209257474414,4852.230723508028,43.49748676226332,478.9257356738716,11.5,0.3103651823411102,-0.004951602811000377,-0.04189800064198712,-0.04121721959102853,0.2507146202015029,0.22278378735522253,-0.010027651959850559,-0.036342677020378744,0.025542961908234574,0.07554215695895472,-0.12538280716669004,-0.04114854442509053,-0.021778693957916317,0.5552476434988582,0.047010682736202014,0.20686098041877177,0.3720805706925665,0.488673257300853,0.41547971762289215,-0.08492077765451,-0.08675442112291698,0.00496982747299235,0.34634444571103273,-0.3130190696232082,-0.09065659653216063,-0.07574651137045052,0.7030900020456814,0.3761025190282927,0.662928992140404,1.1988266341923426,0.9675619216849523,0.668904085621639,-0.19018557701618377,0.005804482667114641,0.05562827874982901,0.7016518974933872,-0.5845567336422686,-0.17052948790453648,-0.23029952473763515,0.0,0.04753420564294775,0.0,0.05141928282291963,0.0,0.0928264778131469,0,1,0,0,0,0,0,0.3376801579005342,0.41309056309916237,0.4285260446828776,0.43200253592558013,0.42943236494567216,0.4547909602200466,0.4396081457339722,0.006294509708323126,0.012940497432737175,0.025456019686909137,0.028307429482435253,0.01596694515965602,-0.0103872335012678,-0.026995344483753847
